;DocumentID;Date;SKU;Price;Discount;Customer;Quantity
9452;4;13/04/2019;2736;85;15;427;4
9458;9;17/07/2019;2736;85;15;427;1
9459;10;1/08/2019;2736;85;15;427;1
9460;11;26/08/2019;2735;25;5;427;4
9462;12;5/09/2019;2734;127;23;68;1
26390;13;3/06/2022;2817;372;67;598;0
27466;14;21/04/2022;714;0;0;434;1
30981;15;17/09/2022;2690;500;90;516;1
25843;16;18/01/2022;2856;42;8;604;1
29465;17;16/06/2022;2690;1271;229;471;1
28771;18;11/02/2022;2817;2275;409;74;1
28772;19;18/03/2022;2817;298;54;314;4
28773;20;9/07/2022;541;1525;275;231;4
28774;21;16/07/2022;541;1525;275;231;1
28775;22;29/04/2022;2643;646;116;510;12
25799;23;17/02/2022;614;4424;796;216;8
26387;24;28/03/2022;2424;4183;753;420;4
26388;25;28/03/2022;311;1695;305;216;4
26389;26;29/03/2022;611;1695;305;216;4
27285;30;18/04/2022;615;5593;1007;420;4
27286;31;19/04/2022;1648;3380;608;420;1
28903;33;15/08/2022;2442;2093;377;216;16
28905;34;9/08/2022;501;9220;1660;420;6
28906;35;23/07/2022;1059;4703;847;420;8
28907;36;23/07/2022;491;3390;610;420;12
28910;38;18/07/2022;496;3729;671;420;10
28316;39;23/08/2022;2072;4549;819;216;12
28317;40;25/06/2022;614;5339;961;420;4
27253;45;28/09/2022;2852;127;23;68;10
27525;46;23/06/2022;614;4449;801;216;1
27526;47;23/06/2022;2156;879;158;216;4
27254;48;4/01/2022;456;949;0;22;1
27256;49;22/06/2022;2817;467;84;22;9
29094;50;8/01/2022;1573;3104;559;447;1
29095;51;6/04/2022;2643;1017;183;447;0
30577;52;31/10/2022;1274;0;0;286;0
30578;53;29/10/2022;642;0;0;268;1
29096;54;20/06/2022;1777;826;149;329;3
27980;55;25/07/2022;2862;1200;0;396;0
27234;56;17/01/2022;1317;0;0;455;0
27235;57;18/01/2022;1317;0;0;455;2
17094;58;2/09/2020;2728;150;0;155;1
9543;59;22/08/2019;2875;150;0;112;2
9924;61;24/10/2019;2776;0;0;396;2
9925;62;5/11/2019;2776;0;0;130;6
9926;63;8/11/2019;2781;0;0;130;1
29466;64;6/10/2022;2690;237;43;172;1
29467;65;1/10/2022;2702;300;0;249;2
9544;66;2/01/2019;2775;1100;0;220;0
9944;67;3/01/2019;2342;0;0;551;0
9945;68;4/01/2019;2360;0;0;545;0
9946;69;4/01/2019;1344;0;0;545;2
9545;70;4/01/2019;2728;100;0;31;0
9947;71;7/01/2019;2117;0;0;551;1
9546;72;7/01/2019;2862;125;0;592;3
9548;73;8/01/2019;2883;0;60;317;0
9950;74;8/01/2019;2226;0;0;479;1
9551;75;10/01/2019;2844;0;0;284;0
9951;76;10/01/2019;1600;0;0;155;0
9952;77;11/01/2019;1600;0;0;155;0
9953;78;11/01/2019;1354;0;0;551;0
9954;79;12/01/2019;2301;0;0;155;0
9955;80;14/01/2019;1600;0;0;155;0
9956;81;16/01/2019;2275;0;0;551;0
9957;82;17/01/2019;1600;0;0;551;0
9959;83;17/01/2019;1749;0;0;581;0
9960;84;17/01/2019;1354;0;0;155;0
9961;85;21/01/2019;2226;0;0;479;0
9962;86;21/01/2019;2775;0;0;479;0
9964;87;23/01/2019;2733;0;0;83;4
9552;88;28/01/2019;2827;3500;0;551;0
9967;89;28/01/2019;1600;0;0;155;0
9968;90;28/01/2019;1600;0;0;155;0
9969;91;29/01/2019;1338;0;0;97;0
9970;92;29/01/2019;1600;0;0;155;4
9554;93;5/02/2019;2831;3600;0;485;1
9555;94;13/02/2019;2862;125;0;396;0
9971;95;18/02/2019;2824;0;0;562;2
9557;96;19/02/2019;2889;0;40;396;1
9562;97;27/02/2019;2862;125;0;396;2
9565;98;27/02/2019;2889;0;50;592;2
9570;99;1/03/2019;2804;1600;0;317;1
9573;100;9/03/2019;2804;800;0;317;2
9574;101;11/03/2019;2862;250;0;396;6
9838;102;14/03/2019;2117;16318;0;551;0
9972;103;18/03/2019;2865;0;0;479;1
9576;104;13/05/2019;2883;0;20;396;1
9578;105;18/03/2019;2864;120;0;592;2
9580;106;20/03/2019;2804;1550;0;317;2
9582;107;25/03/2019;2804;1600;0;396;0
9974;108;25/03/2019;2889;0;0;402;0
9976;109;29/03/2019;2723;0;0;479;2
9585;110;11/04/2019;2723;60;0;25;0
9978;111;13/04/2019;2361;0;0;460;1
9587;112;18/04/2019;2891;0;20;231;2
9591;113;18/04/2019;2804;1500;0;317;1
9592;114;22/04/2019;2862;125;0;396;1
9594;115;22/04/2019;2889;0;20;592;0
9979;116;23/04/2019;2723;0;0;479;0
9980;117;3/05/2019;2522;0;0;402;0
9981;118;3/05/2019;2522;0;0;402;0
9839;120;11/04/2019;2333;2400;0;155;1
9596;121;4/01/2019;2736;85;15;427;4
9597;122;8/01/2019;2734;85;15;427;2
9599;123;9/01/2019;2735;127;23;427;4
9602;124;10/01/2019;2734;85;15;427;4
9604;125;12/01/2019;2734;85;15;427;1
9606;126;15/01/2019;2735;42;8;427;0
9609;128;23/01/2019;2736;85;15;427;1
9610;129;25/01/2019;2736;85;15;427;4
9611;130;8/02/2019;2735;254;46;427;1
9613;131;8/02/2019;2736;85;15;427;1
9985;133;18/02/2019;2734;0;0;299;1
9616;134;13/03/2019;2736;85;15;427;1
9617;135;15/03/2019;2736;85;15;427;0
9988;137;23/03/2019;2735;0;0;517;1
9618;138;29/03/2019;2736;85;15;427;1
9619;139;12/04/2019;2736;85;15;427;1
9620;140;30/04/2019;2736;85;15;427;0
9992;141;9/05/2019;2863;0;0;337;1
9621;142;14/05/2019;2736;85;15;427;1
9622;143;17/05/2019;2736;85;15;427;1
9623;144;22/05/2019;2736;85;15;427;4
9625;145;24/05/2019;2734;85;15;427;2
9627;146;25/05/2019;2735;127;23;427;1
9629;147;1/06/2019;2736;85;15;427;4
9631;148;10/06/2019;2734;85;15;427;1
9633;149;15/06/2019;2736;85;15;427;4
9636;150;20/06/2019;2734;127;23;427;4
9640;152;15/08/2019;2736;85;15;427;1
9641;153;22/08/2019;2736;68;12;427;1
9644;154;23/08/2019;2736;127;23;427;1
9645;155;31/08/2019;2736;85;15;427;1
9646;156;12/09/2019;2740;30;0;49;3
9648;157;10/05/2019;2883;0;60;328;1
9651;158;13/05/2019;2891;0;20;396;0
9994;159;18/05/2019;2659;0;0;408;2
9655;160;20/05/2019;2804;1500;0;317;2
9657;161;20/05/2019;2889;0;0;592;1
9661;162;20/05/2019;2862;170;0;396;2
9664;163;27/05/2019;2883;0;40;396;1
9667;164;27/05/2019;2740;70;0;25;2
9668;165;31/05/2019;2727;68;0;73;2
9669;166;22/06/2019;2658;50;0;25;0
9995;167;1/07/2019;2723;0;0;91;2
9670;168;1/07/2019;2781;1100;0;396;0
9997;169;5/07/2019;2522;0;0;402;1
9674;170;9/07/2019;2862;125;0;396;0
9675;172;16/07/2019;2868;100;0;592;1
9677;173;17/07/2019;2883;0;20;396;0
10000;174;22/07/2019;1079;0;0;434;1
9679;175;29/07/2019;2868;100;0;328;0
10001;176;29/07/2019;2827;0;0;562;1
9680;177;7/08/2019;2865;125;0;396;0
10007;179;15/08/2019;2883;0;0;479;1
9682;180;16/08/2019;2889;0;20;317;1
9686;181;28/08/2019;2862;125;0;396;0
10009;182;3/09/2019;2734;0;0;83;0
10010;183;6/09/2019;2723;0;0;479;0
10012;184;9/09/2019;2827;0;0;562;0
10013;185;12/09/2019;2775;0;0;479;0
10014;186;12/09/2019;1444;0;0;587;0
10016;187;16/09/2019;1064;0;0;512;0
10017;188;17/09/2019;2775;0;0;479;1
9688;189;19/09/2019;2886;0;20;396;2
9694;190;25/09/2019;2726;120;0;87;2
9695;191;28/09/2019;2781;1100;0;396;4
9788;192;7/10/2019;2646;300;0;396;1
9696;193;8/10/2019;2781;550;0;396;2
9698;194;9/10/2019;2805;1500;0;317;3
9702;195;17/10/2019;1459;99;0;317;2
9704;196;18/10/2019;2833;1900;0;396;1
9707;197;21/10/2019;2886;0;20;396;4
9714;198;22/10/2019;2805;3000;0;317;2
9716;199;26/10/2019;2781;1100;0;396;4
9840;200;28/10/2019;2117;12040;0;551;0
10018;201;2/11/2019;2734;0;0;494;0
10020;202;3/11/2019;2830;0;0;494;0
10022;203;3/11/2019;2117;0;0;494;3
9719;204;5/11/2019;2865;300;0;317;1
9720;205;6/11/2019;2868;100;0;396;2
9728;206;8/11/2019;2723;100;0;87;0
10023;207;9/11/2019;2830;0;0;494;1
9729;208;9/11/2019;2886;0;20;396;4
9841;209;11/11/2019;2275;12262;0;434;4
9731;210;13/11/2019;2830;3500;0;592;2
9733;211;13/11/2019;2804;1500;0;317;0
10026;212;16/11/2019;2117;0;0;494;4
9734;213;16/11/2019;2781;2200;0;396;0
10027;214;22/11/2019;2723;0;0;479;1
9735;215;26/11/2019;2865;125;0;396;1
9736;216;26/11/2019;2868;150;0;331;2
9741;217;3/12/2019;696;50;0;317;1
9742;218;4/12/2019;2889;0;20;396;2
9746;219;11/12/2019;2803;1500;0;317;2
9747;220;19/12/2019;2781;1100;0;396;1
9748;221;25/12/2019;2862;150;0;396;0
10030;222;26/12/2019;2740;0;0;479;2
9749;223;27/12/2019;2827;1750;0;396;0
14004;224;3/01/2020;1402;0;0;156;4
17054;225;3/01/2020;2766;3000;0;117;4
17057;226;4/01/2020;2831;3600;0;551;2
13925;227;7/01/2020;2773;1200;0;311;0
14005;228;8/01/2020;2827;0;0;562;1
13926;229;13/01/2020;2803;750;0;317;2
14194;230;20/01/2020;2781;1300;0;396;1
14197;231;20/01/2020;2877;150;0;592;1
13929;233;3/02/2020;2862;125;0;396;1
13982;234;18/02/2020;2660;125;0;396;1
13931;235;19/02/2020;2862;125;0;396;1
14201;236;24/02/2020;2850;30;0;83;1
14006;238;9/03/2020;1291;0;0;156;0
14007;239;10/03/2020;2275;0;0;434;0
14091;240;16/03/2020;709;0;0;195;0
14008;241;18/03/2020;2850;0;0;65;0
14010;242;26/03/2020;2851;0;0;151;0
14011;243;30/03/2020;2275;0;0;156;2
13935;244;31/03/2020;2778;1300;0;105;2
15271;245;20/04/2020;2778;1300;0;396;1
15276;246;22/04/2020;2865;125;0;396;1
15278;247;4/05/2020;2862;150;0;396;2
15281;248;3/06/2020;2781;1200;0;396;2
15287;249;6/06/2020;2836;1800;0;83;1
15288;250;12/06/2020;2825;950;0;396;1
15290;251;18/06/2020;2831;1000;0;396;1
13938;252;2/07/2020;2831;1000;0;396;4
15291;253;7/07/2020;2771;1600;0;592;2
17692;254;8/07/2020;2854;100;0;231;2
15293;255;11/07/2020;2728;200;0;155;2
15294;256;20/07/2020;2781;1300;0;396;2
15297;257;17/07/2020;2728;170;0;155;4
10591;258;4/08/2020;2656;250;0;155;0
17053;259;12/08/2020;2726;0;0;413;1
17098;260;19/08/2020;2805;800;0;317;0
20133;261;1/03/2021;2731;0;0;498;3
17130;262;28/08/2020;2850;150;0;575;2
14624;263;2/09/2020;1444;8189;0;156;2
17503;264;5/09/2020;2728;150;0;155;2
17222;265;9/09/2020;2768;1600;0;317;5
17535;266;14/09/2020;2805;4500;0;317;0
17667;267;15/09/2020;2356;0;0;402;1
17657;268;18/09/2020;2805;900;0;317;1
17089;269;28/09/2020;2660;175;0;396;4
17935;270;30/09/2020;2827;4400;0;396;4
17990;271;1/10/2020;2851;80;0;83;2
18123;272;5/10/2020;2726;200;0;155;1
18152;273;10/10/2020;2865;175;0;396;1
18221;274;14/10/2020;2862;175;0;396;2
18452;275;19/10/2020;2778;1400;0;396;2
18455;276;27/10/2020;2805;1800;0;317;2
18423;277;27/10/2020;2773;1400;0;396;2
18444;278;24/10/2020;2728;200;0;155;2
18588;279;31/10/2020;2830;2200;0;396;2
18641;280;2/11/2020;2805;1800;0;317;4
18658;281;4/11/2020;2827;4400;0;396;3
18726;282;9/11/2020;2779;2100;0;396;2
18775;283;11/11/2020;2725;150;0;155;1
18729;284;14/11/2020;2781;700;0;396;0
14012;285;20/11/2020;2823;0;0;434;3
19170;286;25/11/2020;2862;525;0;396;1
19241;287;26/11/2020;2780;750;0;231;1
19108;288;28/11/2020;2778;700;0;396;4
19113;289;28/11/2020;2781;2800;0;396;2
19285;290;4/12/2020;2726;150;0;155;0
19336;291;2/12/2020;1500;0;0;402;2
19378;292;8/12/2020;2805;1900;0;317;0
19348;293;9/12/2020;2827;0;0;562;0
19497;294;11/12/2020;2252;0;0;399;2
19478;295;18/12/2020;2726;150;0;155;0
19586;296;21/12/2020;2836;0;0;434;2
19510;297;21/12/2020;2776;1400;0;396;2
19511;298;23/12/2020;2776;1600;0;396;0
19521;299;21/12/2020;2390;0;0;25;1
19747;301;8/01/2021;2781;700;0;396;2
20153;302;12/01/2021;2781;1400;0;396;0
20155;304;25/01/2021;2781;1400;0;396;2
20156;305;1/02/2021;2778;1400;0;396;0
20134;306;2/02/2021;2850;0;0;408;0
20136;307;3/02/2021;2250;0;0;498;2
20158;308;3/02/2021;2874;250;0;331;0
24692;309;10/02/2021;2827;0;0;434;2
20162;310;17/02/2021;2767;1400;0;396;0
20137;311;22/02/2021;2733;0;0;83;2
20166;312;22/02/2021;2728;100;0;155;4
20167;313;23/02/2021;2781;2800;0;396;2
20172;314;2/03/2021;2781;1400;0;396;2
20178;315;4/03/2021;2774;1400;0;396;4
20182;316;6/03/2021;2826;4400;0;551;0
24694;317;9/03/2021;359;0;0;25;1
20183;318;10/03/2021;2868;175;0;396;0
20139;319;11/03/2021;2827;0;0;434;1
20487;330;26/04/2021;2854;600;0;264;2
20488;331;27/04/2021;2780;700;0;396;0
20143;333;27/04/2021;2660;175;0;396;2
19772;334;3/05/2021;2805;1700;0;318;2
19773;335;5/05/2021;2772;1400;0;396;3
20493;336;31/05/2021;2830;3150;0;318;2
20496;337;4/06/2021;2728;250;0;155;2
20130;338;15/06/2021;2803;2200;0;318;2
21683;339;26/06/2021;2728;250;0;86;2
21819;340;28/06/2021;2805;2200;0;318;0
19826;341;6/07/2021;1330;0;0;182;1
20094;342;26/07/2021;2862;175;0;318;0
20010;343;26/07/2021;1829;0;0;434;1
19950;344;2/08/2021;2654;60;0;25;2
21423;345;5/08/2021;2850;80;0;25;22
21770;346;12/08/2021;2733;2000;0;25;2
21367;347;20/08/2021;2850;0;0;25;1
21359;348;23/08/2021;2834;1050;0;318;0
22113;349;3/09/2021;60;0;0;156;4
21923;350;8/09/2021;2835;5200;0;551;2
21518;351;15/09/2021;2805;2200;0;319;2
21834;352;20/09/2021;766;0;0;455;0
21308;354;24/09/2021;766;0;0;455;2
21309;355;24/09/2021;2850;200;0;25;5
21311;356;25/09/2021;2781;4000;0;551;0
21290;357;27/09/2021;2827;0;0;434;0
25347;358;7/10/2021;2483;0;0;434;1
21904;359;12/10/2021;2834;1250;0;319;4
22275;360;16/10/2021;2829;5000;0;551;2
23631;361;18/10/2021;2730;150;0;155;4
24749;363;30/10/2021;2865;175;0;396;0
25095;364;5/11/2021;501;0;0;455;5
25047;365;6/11/2021;2834;6250;0;319;0
25125;366;11/11/2021;2850;0;0;83;1
25190;367;22/11/2021;2865;175;0;396;2
25504;368;29/11/2021;2827;3000;0;319;0
25574;369;6/12/2021;1866;0;0;499;4
25552;370;11/12/2021;2776;4800;0;551;4
25540;371;13/12/2021;2805;6000;0;319;0
25651;372;13/12/2021;1865;0;0;25;26
25544;373;14/12/2021;2850;5200;0;25;4
25545;374;15/12/2021;2775;5000;0;396;2
25696;375;22/12/2021;2827;3600;0;551;2
25734;376;24/12/2021;2827;3600;0;551;2
25736;377;25/12/2021;2775;2800;0;396;1
25728;378;25/12/2021;2865;250;0;551;2
25702;379;27/12/2021;2834;3700;0;319;2
25740;380;29/12/2021;2862;400;0;396;2
25852;381;5/01/2022;2776;2500;0;396;4
25857;382;5/01/2022;2781;4800;0;551;1
25941;383;11/01/2022;2781;1500;0;396;1
26008;384;22/01/2022;2776;1200;0;551;2
26254;385;9/02/2022;2835;4600;0;551;0
26344;386;10/02/2022;714;0;0;371;2
25785;387;12/02/2022;2776;3000;0;396;1
25788;388;21/02/2022;2862;300;0;396;2
26483;389;26/02/2022;2803;4000;0;319;1
26345;390;7/03/2022;2805;2000;0;319;1
26569;391;9/03/2022;2643;300;0;396;3
26701;392;15/03/2022;25;225;0;319;0
26917;393;21/03/2022;1341;0;0;99;0
26831;394;22/03/2022;1345;0;0;99;0
26918;395;24/03/2022;2850;0;0;83;8
26863;396;26/03/2022;2727;1100;0;413;2
26902;397;26/03/2022;2738;100;0;155;0
27838;398;6/04/2022;2850;0;0;83;0
27026;399;8/04/2022;1341;0;0;35;1
27024;400;11/04/2022;2867;300;0;396;0
27076;401;14/04/2022;2740;0;0;408;2
27089;402;18/04/2022;2781;3000;0;396;2
27209;403;25/04/2022;2781;3000;0;396;0
27392;404;12/05/2022;2726;0;0;402;1
26699;405;23/05/2022;2660;300;0;396;0
27636;406;23/05/2022;1351;0;0;155;0
26383;407;27/05/2022;1345;0;0;551;1
27770;408;30/05/2022;2806;2600;0;319;0
27814;409;7/06/2022;60;0;0;65;0
27892;410;11/06/2022;2733;0;0;32;0
27895;411;10/06/2022;2733;0;0;32;0
27855;412;15/06/2022;2726;0;0;155;1
28058;413;28/06/2022;2862;400;0;396;6
28129;414;1/07/2022;25;737;0;319;1
28161;415;2/07/2022;2728;200;0;31;0
28259;416;5/07/2022;2733;0;0;32;3
28190;417;7/07/2022;2835;8700;0;551;1
28341;418;19/07/2022;2864;400;0;396;1
25826;419;25/07/2022;2660;400;0;396;0
28672;420;6/08/2022;2851;0;0;83;1
28644;421;8/08/2022;2875;400;0;396;2
28861;422;16/08/2022;2781;3800;0;396;1
28863;423;16/08/2022;2862;400;0;551;2
27714;424;26/08/2022;2776;3800;0;396;4
9843;425;31/10/2019;2522;11939;0;551;2
9750;426;31/10/2019;2695;100;0;491;0
10031;427;21/10/2019;2736;0;0;337;1
29124;429;1/09/2022;2834;0;0;433;2
29121;430;3/09/2022;2776;3800;0;396;2
29201;431;6/09/2022;2776;3800;0;396;2
29255;433;9/09/2022;2781;7200;0;538;1
26653;434;16/09/2022;2805;2700;0;319;1
26655;435;16/09/2022;2862;400;0;396;1
29292;436;19/09/2022;2776;1900;0;396;2
29234;438;22/09/2022;2728;0;0;455;1
29350;439;26/09/2022;2754;50;0;396;0
29347;440;26/09/2022;2728;0;0;455;2
29334;441;27/09/2022;2829;5800;0;99;0
29345;442;28/09/2022;1840;0;0;498;1
29193;443;28/09/2022;2862;500;0;155;1
29340;444;29/09/2022;2776;1900;0;396;1
29346;445;1/10/2022;2694;480;0;396;1
29357;446;6/10/2022;2862;400;0;396;1
29372;447;13/10/2022;2781;1900;0;396;2
29377;448;18/10/2022;2827;6200;0;587;0
29395;449;20/10/2022;2726;0;0;155;2
29383;450;21/10/2022;2777;4000;0;396;4
29397;451;25/10/2022;2827;12000;0;551;2
29406;452;25/10/2022;2726;400;0;587;1
27924;453;1/11/2022;2862;400;0;551;2
29412;454;7/11/2022;2835;6000;0;551;1
20630;455;27/02/2021;519;700;0;22;4
17143;457;9/03/2020;1337;0;0;434;1
9937;458;5/11/2019;2778;0;0;396;2
9938;459;6/11/2019;2778;0;0;396;6
7;460;13/04/2019;2361;13983;0;460;1
8;461;27/04/2019;2723;30;0;479;1
9;462;30/05/2019;655;2500;0;26;1
10;463;31/07/2019;2546;11017;0;580;2
16;465;7/09/2019;2734;100;0;83;1
17;466;7/09/2019;2723;30;0;479;4
19;467;12/09/2019;1444;3983;0;587;2
21;468;25/09/2019;2775;1200;0;479;4
23;469;25/11/2019;2723;120;0;479;1
26;470;28/12/2019;2740;70;0;479;6
9300;471;1/05/2019;673;8008;0;581;2
27;472;3/01/2019;2275;4280;0;551;2
28;473;4/01/2019;2360;2627;0;545;2
29;474;4/01/2019;1344;3771;0;545;2
30;475;7/01/2019;2117;4203;0;551;4
33;476;8/01/2019;2226;5254;0;479;2
34;477;10/01/2019;1600;2712;0;155;1
35;478;11/01/2019;1600;1356;0;155;1
36;479;11/01/2019;2360;1335;0;155;2
37;480;12/01/2019;2301;2669;0;155;1
38;481;12/01/2019;2360;1335;0;155;2
39;482;14/01/2019;1600;2690;0;551;2
41;483;14/01/2019;1600;2690;0;155;2
42;484;14/01/2019;1291;2627;0;155;4
43;485;17/01/2019;1354;4915;0;551;9
48;487;17/01/2019;1749;2458;0;581;2
49;488;18/01/2019;2275;4280;0;413;3
50;489;19/01/2019;1600;4030;0;155;4
51;490;21/01/2019;2226;5254;0;479;2
52;491;21/01/2019;2775;1200;0;479;2
54;492;22/01/2019;2360;2669;0;155;2
55;493;24/01/2019;1291;2627;0;155;2
